state, lat, lon
 "New York", 40.78679465, -73.97763963
 "Alabama", 30.673042, -88.222284
 "New York", 43.0551931, -76.2683871
 "Ohio", 39.0039779, -84.16235447
 "New York", 41.77295426, -73.92970118
 "New York", 40.5595844, -74.16390936
 "New York", 40.77393, -73.531426
 "Virginia", 38.9587839, -77.35841013
 "New York", 40.7276036, -73.42580866
 "Wisconsin", 43.01436825, -88.20064553
 "South Carolina", 33.67029835, -78.93967241
 "Florida", 30.48591176, -87.26100169
 "South Carolina", 34.83350287, -82.30513017
 "New Jersey", 40.75, -74.03
 "Kentucky", 37.0965657, -82.85142649
 "Massachusetts", 42.2863, -70.8766
 "Massachusetts", 42.2863, -70.8766
 "Massachusetts", 42.2863, -70.8766
 "Massachusetts", 42.2863, -70.8766
 "Massachusetts", 42.2863, -70.8766
 "Massachusetts", 42.2863, -70.8766
 "Massachusetts", 42.2863, -70.8766
 "Massachusetts", 42.2863, -70.8766
 "Massachusetts", 42.2863, -70.8766
 "Florida", 28.54087403, -81.37867749
 "Florida", 25.70519148, -80.28632641
 "Virginia", 38.77333546, -77.17389831
 "Michigan", 42.38953854, -83.50713678
 "Illinois", 42.04895655, -87.6847293
 "Illinois", 41.76771051, -88.06937453
 "Michigan", 42.87914254, -85.75594589
 "Kentucky", 39.01807313, -84.48448064
 "Michigan", 42.5312089, -83.11114563
 "Michigan", 42.53112669, -83.11103582
 "Florida", 29.2315, -81.01033
 "Michigan", 42.55413384, -83.02357566
 "Massachusetts", 42.21854815, -71.03326234
 "Florida", 28.55673, -81.33996
 "New York", 40.771006, -73.835946
 "Alabama", 33.33454407, -86.98648453
 "Georgia", 33.852, -84.6032
 "Ohio", 40.7953, -81.5229
 "Virginia", 38.91774586, -77.21980512
 "Massachusetts", 42.49732007, -71.16091472
 "District of Columbia", 38.90282329, -77.06180532
 "New Hampshire", 43.09493129, -70.80082023
 "Michigan", 44.29779, -84.73236
 "New York", 40.72077232, -73.84349427
 "Florida", 25.57498153, -80.36792707
 "New York", 41.23500412, -74.379036
 "Puerto Rico", 18.40791702, -66.10568047
